Dimension,Dimension Code,Scenario-Based Statement,Pahayag sa Filipino,Vital System,Item Polarity,Raw Response (1-5),Scoring Rule,Final Score,Scoring Note
4. Safety Training,ST01,"Before you are assigned with a new task with a moderate level of risk, your supervisor ensures that you are knowledgeable and trained before you do it.","Bago ka bigyan ng bagong gawain na may panganib, binibigyan ka ng sapat na training.",5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
4. Safety Training,ST02,"After attending a safety training session provided by your company, you feel confident applying what you learned. ","Pagkatapos ng training sa kaligtasan, kampante kang magamit ang iyong natutunan.",5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
4. Safety Training,ST03,You are required to complete safety training refreshers regularly. ,Palagi kang binibigyan ng refresher training sa kaligtasan.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
4. Safety Training,ST04,Safety training is practical and relevant to the hazards and situations employees encounter in their actual work.,Ang safety training ay praktikal at naaangkop sa mga hazard at sitwasyong aktwal na nararanasan ng mga empleyado sa kanilang trabaho.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
4. Safety Training,ST05,New hires in your area receive hands-on safety training.  ,Ang mga bagong empleyado ay binibigyan ng hands-on safety training.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
13. Work-Life Balance & Stress,WBS01,Your workload allows you to maintain focus on safety.,Ang iyong workload ay hindi nakakaapekto sa iyong focus sa kaligtasan.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
13. Work-Life Balance & Stress,WBS02,You feel too fatigued to work safely.  ,Madalas kang pagod at hirap magtrabaho nang ligtas.,5. Capability & Resilience Vital,Negative / Reverse-scored,,Final = 6 ? Raw,,Higher agreement indicates a weaker safety-culture condition; reverse score before analysis.
13. Work-Life Balance & Stress,WBS03,You have enough time to take breaks during high-risk tasks.,May sapat kang oras para magpahinga lalo na sa oras ng delikadong trabaho.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
13. Work-Life Balance & Stress,WBS04,Stress from work affects your attention to safety.,Ang stress sa trabaho ay naaapektuhan ang iyong konsentrasyon sa kaligtasan.,5. Capability & Resilience Vital,Negative / Reverse-scored,,Final = 6 ? Raw,,Higher agreement indicates a weaker safety-culture condition; reverse score before analysis.
13. Work-Life Balance & Stress,WBS05,Supervisors monitor team fatigue and stress levels.,Ang mga supervisor ay nagbibigay-pansin sa antas ng stress at pagod ng team.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
